SUB_DISTRICT,2017-11-01,2018-11-01
Bhainsa,10.352270194018168,9.172386711934177
Dilawarpur,12.209270172242398,9.267151638456232
Kaddam (Peddur),10.071775154644499,9.99694238127351
Khanapur,8.21935801620792,7.526854283483424
Kubeer,10.130139419657002,8.827559096537232
Kuntala,12.858595848083496,11.526556968688965
Laxmanchanda,11.270201884170827,5.8858296841854365
Lokeswaram,12.73343919097678,11.325694972669552
Mamda,9.64280626004335,6.530599601685055
Mudhole,11.777080872717098,10.486766795864051
Nirmal,11.22153429391007,5.784722790974961
Sarangapur,11.407402316932707,7.904281346747365
Tanoor,10.431116111524839,9.244915876158796
