SUB_DISTRICT,2017-09-22,2018-09-22
Bejjanki,10.499694544814918,17.03242134807302
Boinypalle,10.14806215704432,20.101842729007302
Chandurthy,9.496904266610358,21.43653630187707
Chigurumamidi,10.933154825199688,18.565448579813122
Choppadandi,8.796737670898438,16.397470474243164
Gambhiraopet,9.713662991344753,21.973103664178556
Gangadhara,9.530736733976289,18.208120566884826
Karimnagar,10.120753923021118,16.537679281504936
Konaraopeta,9.66415934599774,21.631810484065266
Manakondur,7.259188857520673,15.404656917137398
Ramadugu,8.937884480448163,16.396773021241696
Saidapur,11.279621086674302,15.811749586038212
Shankarapatnam,5.417378701921176,14.806883698531387
Sircilla,10.236726036247543,20.26948684936887
Thimmapur,9.949542077982352,16.26818006776827
Veenavanka,5.373871326446533,14.79952621459961
Vemulawala,10.130196989421503,20.08803361064393
Yellareddipet,9.62245000846531,22.045752488258554
