SUB_DISTRICT,2017-09-06,2018-09-06
Barmer,0.288,0.133
Baytoo,0.325,0.122
Chohtan,0.252,0.206
Gudha malani,0.354,0.153
Pachpadra,0.345,0.13
Ramsar,0.225,0.211
Sheo,0.263,0.18
Siwana,0.375,0.142
