SUB_DISTRICT,2017-10-24,2018-10-24
Barmer,3.8969076561037834,3.3265423236607403
Baytoo,3.195231010405324,3.27355590175411
Chohtan,4.837812789114101,4.19533230226606
Gudha malani,3.9928410389277964,3.440404176359268
Pachpadra,4.283734309303685,3.558270898773829
Ramsar,2.947862545927995,2.7377074997702224
Sheo,3.268988119253882,3.8778252931441415
Siwana,5.5386993068305905,4.42221244678342
