SUB_DISTRICT,2017-09-10,2018-09-10
Buhana,1.16,1.29
Chirawa,1.21,1.43
Jhunjhunun,0.92,1.15
Khetri,1.28,1.63
Nawalgarb,1.11,1.46
Udaipurwati,1.31,1.62
